Species,NeoplasiaPrevalence,max_longevity,adult_weight,SE,discrete_trait
Sciurus_carolinensis,0.1,283.2,533,0.001201903,Y
Pipistrellus_pipistrellus,0.075471698,199.2,-1,0.001195248,Y
Pantherophis_guttatus,0.051948052,387.6,900,0.001211193,Y
Phocoena_phocoena,0.081818182,244.8,52500,0.001213018,Y
Delphinus_delphis,0.253164557,240,80000,0.001202985,Y
Muscardinus_avellanarius,0.123076923,63.6,27.3,0.001198232,Y
Gallus_gallus,0.220338983,360,779.8,0.001213845,Y
Lemniscomys_barbarus,0.072463768,52.8,26.2,0.001194502,Y
Pteropus_rodricensis,0.240740741,336,350,0.00119269,Y
Microtus_agrestis,0.128571429,57.6,46,0.001185866,Y
Heterocephalus_glaber,0.14084507,372,35,0.001186908,Y
Saimiri_sciureus,0.111111111,362.4,925,0.001218746,Y
Phoca_vitulina,0.101351351,571.2,115000,0.001208579,Y
Melopsittacus_undulatus,0.09375,252,30,0.001193606,Y
Heloderma_suspectum,0.22,346.8,553.41,0.001205234,Y
Dasypus_novemcinctus,0.101449275,267.6,5500,0.001198816,Y
Macropus_parma,0.105263158,190.8,4250,0.001195701,Y
Macroscelides_proboscideus,0.123076923,104.4,40,0.001207892,Y
Boa_constrictor,0.253807107,484.8,3532,0.001189547,Y
Artibeus_jamaicensis,0.166666667,230.4,42.2,0.001177547,Y
Litocranius_walleri,0.03125,207.6,43500,0.001182154,Y
Carollia_perspicillata,0,204,15,0.001183477,Y
Acinonyx_jubatus,0.373134328,246,53500,0.001207168,Y
Litoria_infrafrenata,0,-1,-1,0.001205324,Y
Pogona_vitticeps,0,144,500,0.001201668,Y
Macropus_robustus,0,264,30000,0.001200673,N
Numida_meleagris,0.31316726,-1,1299,0.001205047,Y
Nymphicus_hollandicus,0,420,90,0.001214437,Y
Meleagris_gallopavo,0,156,6050,0.001188994,N
Leucopsar_rothschildi,0,300,95,0.001197725,N
Procavia_capensis,0.013793103,177.6,3600,0.001200025,N
Macropus_rufus,0.14084507,300,55000,0.001191481,N
Nanger_dama,0.024390244,231.6,73000,0.001207721,N
Trachycephalus_resinifictrix,0.245283019,-1,-1,0.001203643,N
Corallus_caninus,0.19047619,223.2,-1,0.001191278,N
Dendrocygna_autumnalis,0.051282051,98.4,828,0.001197278,N
Rattus_norvegicus,0.055555556,45.6,300,0.001202395,N
Sus_scrofa,0.031746032,324,130000,0.001209443,N
Leontopithecus_chrysomelas,0.2,255.6,535,0.001200584,N
Ambystoma_mexicanum,0.068493151,204,-1,0.001203051,N
Suricata_suricatta,0.186567164,247.2,776,0.001191711,N
Morelia_viridis,0.083333333,247.2,3113,0.001197933,N
Mustela_nigripes,0.25,112.8,1021,0.001192924,N
Cornufer_guentheri,0.06741573,-1,-1,0.001199165,Y
Erythrura_gouldiae,0.041322314,-1,12,0.001199949,Y
Crotalus_lepidus,0.058823529,403.2,219,0.001195283,Y
Saguinus_oedipus,0.216666667,314.4,445.5,0.001201249,Y
Capra_hircus,0.41025641,249.6,61000,0.001196373,Y
Rousettus_aegyptiacus,0.192982456,274.8,125,0.001190025,Y
Dyscophus_antongilii,0.111111111,-1,-1,0.001203938,Y
Phoenicopterus_chilensis,0.073170732,440.4,2277,0.001194523,Y
Asarcornis_scutulata,0.036363636,-1,3000,0.001199325,Y
Uroplatus_phantasticus,0.036363636,-1,-1,0.001197859,Y
Sceloporus_cyanogenys,0.087719298,80.4,35.59,0.001191352,Y
Hydrochoerus_hydrochaeris,0.2,181.2,55000,0.00120125,Y
Uroplatus_sikorae,0.046875,15.6,-1,0.00121259,Y
Ramphastos_swainsonii,0.058823529,-1,-1,0.001176458,Y
Mus_musculus,0.220338983,72,20.5,0.001187672,Y
Oryctolagus_cuniculus,0.277419355,216,1800,0.001179268,Y
Cynomys_ludovicianus,0.255474453,132,1125,0.001189688,Y
Cosmopsarus_regius,0.037735849,-1,-1,0.001199652,Y
Pteroglossus_aracari,0.018518519,-1,261.75,0.001192143,N
Morelia_spilota,0.046875,235.2,15926,0.001185933,N
Trichoglossus_haematodus,0.111111111,193.2,115.1,0.001200437,N
Boiga_dendrophila,0.073170732,204,-1,0.001201791,N
Zalophus_californianus,0.036363636,428.4,180000,0.001215862,N
Agalychnis_callidryas,0.036363636,-1,-1,0.001221162,N
Spheniscus_humboldti,0.092920354,360,4379,0.001191027,N
Bitis_arietans,0.087719298,189.6,2381,0.001188932,N
Dendrocygna_viduata,0.2,144,610,0.001203607,N
Anaxyrus_baxteri,0.046875,-1,-1,0.001199847,N
Phoenicopterus_ruber,0.058823529,528,3065.8,0.001197248,N
Pipa_pipa,0,92.4,-1,0.001177711,N
Atelopus_zeteki,0,-1,-1,0.001214964,N
Ovis_aries,0,273.6,80000,0.001205484,N
Dendrobates_tinctorius,0.123076923,-1,-1,0.001201752,N
Rollulus_rouloul,0.192982456,-1,224.5,0.001199857,N
Eudocimus_ruber,0.111111111,398.4,615,0.001207867,N
Mantella_aurantiaca,0.036363636,130.8,-1,0.001206994,N
Columba_livia,0.036363636,420,358.7,0.001196957,N
Agapornis_nigrigenis,0.092920354,-1,40.45,0.001192373,N
Chamaeleo_calyptratus,0.087719298,-1,200.215,0.001204597,N
Panthera_tigris,0.2,315.6,119700,0.001182172,N
Phyllobates_bicolor,0.046875,-1,-1,0.001196743,N
Rana_temporaria,0.058823529,324,-1,0.001189208,N
Pitta_sordida,0,-1,64,0.001199271,N
Bufo_bufo,0,480,-1,0.001213279,N
Xenopus_longipes,0,-1,-1,0.001197886,N
Phyllomedusa_bicolor,0,123.6,-1,0.001183654,N
Triturus_cristatus,0.123076923,336,-1,0.001191215,N
Crex_crex,0.220338983,70,155.5,0.001200239,N
Erpeton_tentaculatum,0.072463768,163.2,131,0.00119475,N
Threskiornis_aethiopicus,0.240740741,444,1530,0.001208126,N
Spheniscus_demersus,0.128571429,327.6,3135,0.001212949,N
Ctenosaura_bakeri,0.14084507,165.6,399.4,0.001190564,N
Alytes_muletensis,0.111111111,-1,-1,0.001203415,N
Phrynosoma_asio,0,-1,100,0.00119833,N
Milvus_milvus,0.31316726,456,1080,0.001179583,N
Passer_domesticus,0,276,25.3,0.001190846,Y
Geokichla_citrina,0,-1,53.15,0.001221983,Y
Theristicus_melanopis,0,414,1200,0.00118528,Y
Eos_bornea,0.013793103,296.4,156,0.001202646,Y
Lophura_edwardsi,0.14084507,-1,1082.5,0.001200209,Y
Lemur_catta,0.245283019,447.6,2555,0.001195566,Y
Panthera_leo,0.19047619,324,175000,0.001206336,Y
Didelphis_marsupialis,0.051282051,50.4,1530,0.001176458,Y
Phascolarctos_cinereus,0.055555556,265.2,9300,0.001187471,Y
Cavia_fulgida,0.031746032,-1,282.5,0.001197175,Y
Lycaon_pictus,0.2,204,26500,0.0011944,Y
Atelerix_albiventris,0.068493151,136.8,500,0.001203945,Y
Mustela_putorius,0.186567164,133.2,809,0.001193691,Y